file,assay,treatment,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
hP_c01,Experiment 1,highP_control,13.05.22,day 04,jpg,154.1283255086070,181.52738654147100,133.0,1.2644338465731000,-37.963223787167500,1.581735577088870,0.3873363364065300,0.7326718162695270,12689910,12665856,24054,24054,1004984,175.004297115984,1716.4993296105600,382.4564057265110,2022.066017177980,0.9748614648843470,0.008916537296436500,0.02393470940830900,4.488091463260780
hP_c02,Experiment 1,highP_control,13.05.22,day 04,jpg,157.51955782312900,186.94897959183700,144.2627551020410,1.2389657815247300,-36.057823129251700,1.6142495860851800,0.38251894743435400,0.7716691228644720,12689910,12645792,44118,45012,674978,237.00797926362300,1153.0231924849500,488.1237671341230,2333.663996924430,0.9059696980126900,0.01655514328428110,0.06536213032128460,2.3621533515046700
hP_c03,Experiment 1,highP_control,13.05.22,day 04,jpg,174.16666666666700,204.0185185185190,154.85185185185200,1.2401643496369700,-39.50925925925930,1.612689479894710,0.38274735964424700,0.7590088045747480,12689910,12687862,2048,2048,15812,51.064611891383400,298.03281964108700,85.39524034662080,488.38477631085000,0.958071374190627,0.07473088852399200,0.12952188211484900,3.4900401759087100
hP_c04,Experiment 1,highP_control,13.05.22,day 04,jpg,140.26112759643900,160.94807121661700,125.94213649851600,1.2092118536849100,-27.846439169139500,1.6539698927903100,0.37679402570336900,0.7825016823532660,12689910,12664564,25346,25346,5236075,179.64278304696100,3780.7791165005100,514.6249304424160,2142.3086578651000,0.9906928917310380,0.002375259960985240,0.004840648768399990,7.346669181475960
hP_c05,Experiment 1,highP_control,13.05.22,day 04,jpg,177.01666666666700,209.85,163.45,1.23271979635794,-39.616666666666600,1.6224287189262200,0.3813259032678160,0.7788896831069810,12689910,12687677,2233,2233,964353,53.3211393669867,1521.9523295565100,855.67402212973,417.2132034355960,0.8269868234920240,0.001003400688046190,0.002315542130319500,1.7786590339256100
hP_c06,Experiment 1,highP_control,13.05.22,day 04,jpg,152.6450676982590,182.74177949709900,130.47485493230200,1.290914307966630,-41.18181818181820,1.5492895133762000,0.3922661568068160,0.7139848111984340,12689910,12651030,38880,39672,312739,222.4939403653570,462.34413970793500,326.0889404159520,2099.17871555019,0.7089140817611870,0.02977325461186800,0.1243209193608730,1.4178467356733400
hP_c07,Experiment 1,highP_control,13.05.22,day 04,jpg,147.3706896551720,178.04885057471300,137.20402298850600,1.251332902496160,-35.761494252873600,1.598295702135210,0.3848676650537600,0.7705976339955780,12689910,12676825,13085,13085,59936,129.07493731495500,561.1969838635280,171.92032671950100,1245.8822509939100,0.9519203034955480,0.15027275337352900,0.21831620395088100,3.2642852335847100
hP_c08,Experiment 1,highP_control,13.05.22,day 04,jpg,155.45823389021500,175.07159904534600,146.75178997613400,1.1586088165147800,-23.966587112171800,1.7262081657692000,0.36680984693545900,0.8382387022016220,12689910,12674116,15794,15794,2283886,141.80812871463700,3029.1441855261900,1580.6028272606500,2156.7523086790000,0.853068782573846,0.004690968978836580,0.006915406460742790,1.9164486696357600
hP_c09,Experiment 1,highP_control,13.05.22,day 04,jpg,146.58833619211000,173.9236706689540,127.88421955403100,1.2673301357664000,-36.68739279588340,1.5781207623462100,0.3878794254346540,0.7352893315910160,12689910,12646141,43769,45805,1983311,236.06867990801600,608.988432718334,394.2665409435250,2443.0782104868000,0.7621400418642140,0.013258090361235900,0.022068651865491600,1.5446109914905700
hP_c10,Experiment 1,highP_control,13.05.22,day 04,jpg,148.41095890411000,174.84931506849300,129.7583170254400,1.2571432591482600,-35.76467710371820,1.590908582173080,0.3859649880665680,0.742115100505887,12689910,12651474,38436,38622,301085,221.2198796253190,762.0388482077210,289.8002335192070,2008.6934341759500,0.924864879053983,0.022589971101340400,0.12765830247272400,2.629531518846120
hP_c11,Experiment 1,highP_control,16.05.22,day 07,jpg,156.56513026052100,186.30260521042100,146.23246492986000,1.230542171864250,-34.90380761523050,1.6252998440273200,0.38090887114287000,0.7849190555585440,12689910,12671238,18672,18672,442445,154.18796574082900,825.3527812947730,348.2412110973740,2111.965512114590,0.906628347505729,0.009559515819124870,0.04220185559787090,2.3700606217567700
hP_c12,Experiment 1,highP_control,16.05.22,day 07,jpg,103.52315325248100,135.08847850055100,101.92861080485100,1.315038389866100,-32.36259647188530,1.5208681475859100,0.39668873636157600,0.7545322290711510,12689910,12553541,136369,136369,6096806,416.6898168614030,725.8528593606940,511.27822866652700,2944.0904037956200,0.7098203647730560,0.01339876377148930,0.02236728542781250,1.4196827063295900
hP_c13,Experiment 1,highP_control,16.05.22,day 07,jpg,153.36338797814200,182.13387978142100,139.4398907103830,1.2440699475579900,-35.73224043715850,1.6076266482651000,0.3834904819159280,0.7655900751563880,12689910,12676182,13728,13728,2459072,132.2082919870170,1165.4390370312000,440.74266748301000,1470.7106781186500,0.9257331572334020,0.0017196872243699500,0.005582593758946460,2.644261885709370
